"capability";"count"
"BlueprintAssignments";"0"
"Blueprints";"0"
"ManagementGroups";"12"
"MDfCSecureScore_54d665dd-30f1-45c5-a8d5-d6ffcdb518f9";"57.66"
"MDfCSecureScore_alz";"57.66"
"MDfCSecureScore_connectivity";"83.38"
"MDfCSecureScore_identity";"55.25"
"MDfCSecureScore_management";"61.5"
"MDfCSecureScore_platform";"57.66"
"MDfCSecureScore_security";"54.11"
"OrpanedResourceType_microsoft.network/publicipaddresses, cost savings";"1"
"OrpanedResourceType_microsoft.network/virtualnetworks, misconfiguration";"2"
"OrpanedResourceType_microsoft.resources/subscriptions/resourcegroups, clean up";"2"
"PolicyAssignments";"161"
"PolicyAssignments_ManagementGroups";"128"
"PolicyAssignments_ResourceGroups";"0"
"PolicyAssignments_Subscriptions";"33"
"PolicyDefinitionsBuiltIn";"2746"
"PolicyDefinitionsCustom";"210"
"PolicySetDefinitionsBuiltIn";"168"
"PolicySetDefinitionsCustom";"51"
"Resources";"327"
"ResourceType_microsoft.eventgrid/systemtopics";"5"
"ResourceType_microsoft.insights/actiongroups";"5"
"ResourceType_microsoft.insights/datacollectionrules";"3"
"ResourceType_microsoft.keyvault/vaults";"1"
"ResourceType_microsoft.managedidentity/userassignedidentities";"2"
"ResourceType_microsoft.network/dnsresolvers";"1"
"ResourceType_microsoft.network/dnsresolvers/inboundendpoints";"1"
"ResourceType_microsoft.network/networkwatchers";"2"
"ResourceType_microsoft.network/privatednszones";"96"
"ResourceType_microsoft.network/privatednszones/virtualnetworklinks";"190"
"ResourceType_microsoft.network/publicipaddresses";"1"
"ResourceType_microsoft.network/virtualnetworks";"2"
"ResourceType_microsoft.operationalinsights/workspaces";"1"
"ResourceType_microsoft.operationsmanagement/solutions";"2"
"ResourceType_microsoft.security/automations";"4"
"ResourceType_microsoft.sql/servers";"1"
"ResourceType_microsoft.sql/servers/databases";"5"
"ResourceType_microsoft.storage/storageaccounts";"5"
"ResourceTypes";"18"
"RoleDefinitionsCustom";"9"
"Subscriptions";"4"
"Subscriptions_Internal_2014-09-01";"4"
"SubscriptionsOutOfScope";"0"
"TotalRoleAssignments";"452"
"TotalRoleAssignments_ManagementGroups";"219"
"TotalRoleAssignments_RgRes";"47"
"TotalRoleAssignments_Subscriptions";"174"
"TotalRoleAssignments_Tenant";"12"
